fire,cso,poidse1,poidse2,poidse3,csa,v_wac,class_1,class_2,class_3,fire_bb,year
,4L,1,,,,,Lande,Missing,Opened,,2019
,7,1,1,,7,,Other,Other,closed,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,1,1,,,,,closed,Missing,closed,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
1,1,1,,,,,closed,Missing,closed,1,2019
1,1,1,2.41509437561035,1,1,37.04014,closed,closed,closed,1,2019
,1,1,,,,,closed,Missing,closed,1,2019
,3,1,,,,,Opened,Missing,Opened,1,2019
,1,1,,,,,closed,Missing,closed,1,2019
,3,1,,,,,Opened,Missing,Opened,1,2019
,1,1,,,,,closed,Missing,closed,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,3,1,,,,,Opened,Missing,Lande,,2019
,1,1,,,,,closed,Missing,closed,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,7,1,1,,7,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,4L,1,,,,,Lande,Missing,Lande,1,2019
1,1,1,4.8301887512207,1,1,26.72414,closed,closed,closed,1,2019
1,4L,1,,,,,Lande,Missing,Lande,1,2019
1,3,1,,,,,Opened,Missing,Opened,1,2019
,4L,1,,,,,Lande,Missing,Lande,1,2019
,1,1,4.8301887512207,1,1,35.03452,closed,closed,closed,1,2019
,1,1,,,,,closed,Missing,Opened,,2019
,3,1,4.8301887512207,,4L,,Opened,Opened,Lande,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,3,1,4.8301887512207,1,1,26.95816,Opened,closed,Lande,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,1,1,,,,,closed,Missing,closed,,2019
,1,1,1,,1,,closed,closed,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,1,1,,,,,closed,Missing,closed,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,7,1,,,,,Other,Missing,Missing,1,2019
,4L,1,,,,,Lande,Missing,Lande,1,2019
,1,1,,,,,closed,Missing,closed,1,2019
1,4L,1,,,,,Lande,Missing,Lande,1,2019
1,1,1,,,,,closed,Missing,closed,1,2019
,1,1,,,,,closed,Missing,Opened,1,2019
,4L,1,,,,,Lande,Missing,Lande,1,2019
,1,1,,,,,closed,Missing,Opened,,2019
,4L,1,,,,,Lande,Missing,Opened,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,3,1,,,,,Opened,Missing,Opened,1,2019
,4L,1,8,,4L,,Lande,Lande,Lande,1,2019
,3,1,,,,,Opened,Missing,Opened,1,2019
,1,1,2.41509437561035,1,1,55.22408,closed,closed,closed,1,2019
,1,1,,,,,closed,Missing,closed,1,2019
,4L,1,8,,4L,,Lande,Lande,Lande,1,2019
1,6A,1,1,,6A,,Other,Other,Opened,1,2019
1,4L,1,4,,4L,,Lande,Lande,Lande,1,2019
,3,1,,,,,Opened,Missing,Opened,1,2019
,1,1,4.8301887512207,1,1,11.51697,closed,closed,closed,1,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,7,1,1,,7,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,,,,,Other,Missing,Missing,1,2019
,4L,1,,,,,Lande,Missing,Lande,1,2019
,7,1,1,,7,,Other,Other,Missing,1,2019
1,3,1,,,,,Opened,Missing,closed,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,3,1,,,,,Opened,Missing,Lande,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
1,1,1,,,,,closed,Missing,Lande,1,2019
1,3,1,,,,,Opened,Missing,Lande,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,1,1,,,,,closed,Missing,Lande,,2019
,6A,1,,,,,Other,Missing,closed,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,7,1,1,,7,,Other,Other,Missing,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
1,1,1,,,,,closed,Missing,Missing,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,3,1,,,,,Opened,Missing,closed,1,2019
,3,1,4.8301887512207,,4L,,Opened,Opened,Opened,1,2019
,3,1,,,,,Opened,Missing,Opened,1,2019
1,3,1,,,,,Opened,Missing,Lande,1,2019
,1,1,,,,,closed,Missing,closed,1,2019
,1,1,4.8301887512207,,4L,,closed,Other,closed,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,,,,,Other,Missing,Missing,,2019
,7,1,1,,7,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,9,1,1,,9,,Other,Other,Missing,1,2019
,9,1,1,,9,,Other,Other,Missing,1,2019
,9,1,1,,9,,Other,Other,Missing,1,2019
,1,1,2.41509437561035,1,1,18.83934,closed,closed,closed,1,2019
1,6A,1,1,,6A,,Other,Other,Missing,1,2019
,6A,1,1,,6A,,Other,Other,Missing,1,2019
,3,1,,,,,Opened,Missing,Missing,1,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,1,1,2.41509437561035,1,1,131.4544,closed,closed,closed,,2019
,1,1,,,,,closed,Missing,closed,,2019
,6A,1,1,,6A,,Other,Other,Lande,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,9,1,1,,9,,Other,Other,Missing,1,2019
,9,1,1,,9,,Other,Other,Missing,1,2019
,1,1,4.8301887512207,1,1,4.316,closed,closed,closed,1,2019
,4L,1,,,,,Lande,Missing,Lande,1,2019
,7,1,1,,7,,Other,Other,Missing,1,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,4L,1,4,,4L,,Lande,Lande,Lande,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,1,1,,,,,closed,Missing,closed,,2019
,1,1,,,,,closed,Missing,closed,,2019
,9,1,1,,9,,Other,Other,Missing,,2019
,3,1,,,,,Opened,Missing,Opened,,2019
,9,1,1,,9,,Other,Other,Missing,,2019
,9,1,1,,9,,Other,Other,Missing,,2019
,4L,1,1,,4L,,Lande,Lande,Missing,,2019
,4L,1,,,,,Lande,Missing,Opened,1,2019
,9,1,1,,9,,Other,Other,Missing,1,2019
,4L,1,,,,,Lande,Missing,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,4L,1,4,,4L,,Lande,Lande,Lande,,2019
,9,1,1,,9,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,1,1,2.41509437561035,1,1,71.19478,closed,closed,closed,,2019
,9,1,1,,9,,Other,Other,Missing,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,1,1,2.41509437561035,1,1,79.72271,closed,closed,closed,,2019
,1,1,4.8301887512207,1,1,50.07661,closed,closed,closed,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Missing,,2019
,6A,1,1,,6A,,Other,Other,Lande,,2019
,1,1,,,,,closed,Missing,closed,,2019
,4L,1,,,,,Lande,Missing,Lande,,2019
,1,1,4.8301887512207,,7,,closed,Other,closed,,2019
,1,1,,,,,closed,Missing,closed,,2019
,1,1,,,,,closed,Missing,closed,,2019
,6H,1,1,,6H,,Other,Other,Lande,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,9,1,1,,9,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,9,1,1,,9,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,2.32727265357971,1,1,,closed,closed,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,3,1,,,,,Opened,Missing,Lande,,2020
,1,1,4.65454530715942,1,1,202.5416,closed,closed,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,closed,,2020
,1,1,2.32727265357971,1,1,200.5001,closed,closed,closed,,2020
,3,1,,,,,Opened,Missing,Lande,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,4L,1,,,,,Lande,Missing,Lande,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Lande,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,1,1,1,,1,,closed,closed,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,3,1,4.65454530715942,,4L,,Opened,Opened,Lande,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,1,,1,,closed,closed,Missing,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,2.32727265357971,1,1,68.48535,closed,closed,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6H,1,1,,6H,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,2.32727265357971,1,1,320.1345,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,Missing,,2020
,7,1,,,,,Other,Missing,Missing,,2020
,1,1,,,,,closed,Missing,Missing,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Lande,,2020
,1,1,4.65454530715942,1,1,147.6667,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,8,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,53.14142,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,,7,,closed,Other,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,137.0038,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,357.7904,closed,closed,closed,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,1,1,4.65454530715942,1,1,769.4713,closed,closed,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,4.65454530715942,1,1,79.23536,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,Opened,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,7,1,1,,7,,Other,Other,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Lande,,2020
,7,1,,,,,Other,Missing,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,239.5819,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,65.29794,closed,closed,closed,,2020
,6A,1,1,,6A,,Other,Other,Lande,,2020
,4L,1,,,,,Lande,Missing,Opened,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,,,,,Other,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,4L,1,,,,,Lande,Missing,Missing,,2020
,1,1,4.65454530715942,1,1,169.99,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,204.4768,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,324.7139,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,12.66791,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,4L,1,,,,,Lande,Missing,Opened,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,4L,1,,,,,Lande,Missing,Lande,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,3,1,,,,,Opened,Missing,Lande,,2020
,7,1,,,,,Other,Missing,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,303.4114,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,1,1,4.65454530715942,1,1,86.98002,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,4.945888,closed,closed,Opened,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,4.65454530715942,1,1,31.4901,closed,closed,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,4.65454530715942,1,1,157.3715,closed,closed,closed,,2020
,4L,1,,,,,Lande,Missing,Lande,,2020
,1,1,2.32727265357971,1,1,227.0038,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,120.5483,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6H,1,1,,6H,,Other,Other,Opened,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,16.08817,closed,closed,closed,,2020
,4L,1,,,,,Lande,Missing,Lande,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,4L,1,,,,,Lande,Missing,Lande,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,2.32727265357971,,9,,closed,Other,closed,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,3,1,2.32727265357971,,4L,,Opened,Opened,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,3,1,,,,,Opened,Missing,Lande,,2020
,3,1,,,,,Opened,Missing,Lande,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,1,,1,,closed,closed,Missing,,2020
,1,1,2.32727265357971,1,1,24.94499,closed,closed,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,Opened,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,3,1,,,,,Opened,Missing,closed,,2020
,1,1,4.65454530715942,1,1,234.8372,closed,closed,closed,,2020
,4L,1,,,,,Lande,Missing,Opened,,2020
,1,1,4.65454530715942,1,1,57.17808,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,4.65454530715942,,1,,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6A,1,8,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,228.0861,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,,closed,closed,Opened,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,Lande,,2020
,1,1,1,,1,,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,,1,,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,395.5628,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,4L,1,,,,,Lande,Missing,Lande,,2020
,4L,1,,,,,Lande,Missing,Lande,,2020
,7,1,1,,7,,Other,Other,Missing,,2020
,3,1,,,,,Opened,Missing,Missing,,2020
,1,1,2.32727265357971,,1,,closed,closed,Opened,,2020
,4L,1,,,,,Lande,Missing,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,,,,,closed,Missing,Opened,,2020
,1,1,2.32727265357971,1,1,119.901,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,Missing,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,4L,1,,,,,Lande,Missing,Lande,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,Lande,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,6H,1,1,,6H,,Other,Other,Lande,,2020
,1,1,4.65454530715942,1,1,65.11319,closed,closed,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,2.32727265357971,1,1,246.934,closed,closed,closed,,2020
,1,1,1,,1,,closed,closed,Missing,,2020
,6A,1,8,,6A,,Other,Other,Missing,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,6A,1,,,,,Other,Missing,Missing,,2020
,1,1,,,,,closed,Missing,Missing,,2020
,1,1,4.65454530715942,1,1,4.884869,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,42.85202,closed,closed,closed,,2020
,6A,1,1,,6A,,Other,Other,closed,,2020
,1,1,4.65454530715942,1,1,529.948,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,133.3837,closed,closed,closed,,2020
,6A,1,1,,6A,,Other,Other,Missing,,2020
,1,1,4.65454530715942,1,1,288.0344,closed,closed,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,3,45.94729,closed,Other,Lande,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,,7,,closed,Other,closed,,2020
,1,1,,,,,closed,Missing,closed,,2020
,1,1,4.65454530715942,1,1,49.34266,closed,closed,Opened,,2020
,6H,1,1,,6H,,Other,Other,Lande,,2020
